"holder","holder_class","segment","licenses","mining_lics","hectares","main_commodities","lics_in_default_2025","lics_cancelled_2024"
"NUBIACREEK RESOURCES LIMITED","organization","critical_battery","2","0","3393","Gold/Quartz/Cobalt","1","0"
"Jufa Transport & Logistics Limited","organization","critical_battery","2","0","2885","Silver/Zinc/Gold","0","0"
"Mlema Mining Limited","organization","critical_battery","2","0","199","Tantalum/Manganese/Zinc","1","0"
"Cz Environmental Solutions Limited","organization","gemstones","2","0","13499","Quartz/Precious Gems/Rare EarthsElements","2","0"
"D.M Transport & Logistics Limited","organization","gemstones","2","0","2344","Rare EarthsElements/Quartz/Manganese","1","0"
"Interprochan Developments Limited","organization","gemstones","2","0","15732","Limestone (General)/Lead/Iron Ore","1","0"
"Misoler Investment Limited","organization","critical_battery","2","0","2371","Manganese/Silver/Zinc","1","0"
"Uniturtle Industries Zambia Limited","organization","industrial_minerals","2","0","222","Limestone (General)/Dolomite","1","1"
"Langtasee Mining Company Limited","organization","gemstones","2","0","666","Iron Ore/Manganese/Gold","2","0"
"Mitchell Cotts Mining Limited","organization","gemstones","2","0","1965","Lithium/Quartz/Tourmaline","0","0"
"Uni-African Mining and Energy Corporation Limited","organization","gemstones","2","0","7949","Iron Ore/Lead/Zinc","1","0"
"MJK Resources Zambia Limited","organization","critical_battery","2","0","711","Lithium/Manganese/Gold","1","0"
"Kameha Resources Limited","organization","gemstones","2","0","3963","Coal/Amethyst/Zinc","0","0"
"Jamboree Investments Limited","organization","critical_battery","2","0","1946","Nickel/Manganese/Zinc","2","2"
"Mulundu Mineral Resources Limited","organization","gemstones","2","0","1109","Gold/Nickel/Silver","1","0"
"Fahrenheit Twenty Four Limited","organization","gemstones","2","0","12185","Gold/Iron Ore/Cobalt","0","0"
"STREET WISE MINING LIMITED","organization","gemstones","2","0","1610","Manganese/Gold/Copper","1","0"
"Mutivals Company Limited","organization","critical_battery","2","0","1458","Manganese/Gold/Copper","1","0"
"Chipanshya Construction Limited; Chipanshya Construction Limited","organization","critical_battery","2","0","1869","Gold/Copper/Cobalt","1","0"
"Chipepo Aquaculture and Tourism Enterprise Limited","organization","critical_battery","2","0","6728","Gold/Copper/Manganese","1","0"
"Sandspring Ventures Limited","organization","gemstones","2","0","1396","Manganese/Lead/Silver","0","0"
"China Zhong Yuan International Limited","organization","critical_battery","2","0","1136","Manganese/Silver/Lead","2","0"
"Feliz Mineral Resources Limited","organization","critical_battery","2","0","9638","Iron Ore/Lead/Gold","0","0"
"Feldon & Camara Mining Limited","organization","critical_battery","2","0","5984","Nickel/Zinc/Iron Ore","0","0"
"Salmar Zambia Limited","organization","gemstones","2","0","1525","Manganese/Limestone (General)/Lead","1","0"
"Clito Construction Limited","organization","critical_battery","2","0","5025","Iron Ore/Manganese/Zinc","2","0"
"Tangshan Resources Limited","organization","critical_battery","2","0","1854","Lithium/Limestone (General)/Molybdenum","0","0"
"Jilham Civil Cross Engineering Limited","organization","gemstones","2","0","12431","Nickel/Molybdenum/Gold","2","0"
"FEDAR INVESTMENT COMPANY LIMITED","organization","gemstones","2","0","1336","Coal/Amethyst/Granite","0","0"
"Stonecore Mine Limited","organization","gemstones","2","0","1202","Titanium/Tantalum/Sugilite","0","0"
"Sun Avenue Partners Corp Zambia Limited","organization","critical_battery","2","0","4543","Silver/Zinc/Gold","1","0"
"Epic Solutions Limited","organization","critical_battery","2","0","6270","Gold/Copper/Cobalt","2","0"
"KAPICHILA INVESTMENTS LIMITED","organization","gemstones","2","0","1351","Zinc/Malachite/Nickel","2","0"
"Chitubula Investments Limited","organization","gemstones","2","0","7638","Gold/Nickel/Copper","1","0"
"CHQI INVESTMENTS LIMITED","organization","gold","2","0","1475","Malachite/Gold/Copper","0","0"
"ENOSARS CONSTRUCTION LIMITED","organization","gemstones","2","0","1033","Manganese/Limestone (General)/Lead","0","0"
"Chumu Mining Company Limited","organization","gemstones","2","0","428","Diamond/Emerald/Cobalt","2","0"
"Karaka Mineral Resources Limited","organization","critical_battery","2","0","954","Gold/Silver/Cobalt","0","0"
"Kapesika Mining & Gold Processing","organization","gemstones","2","0","509","Gold/Lead/Copper","2","0"
"Musulumba Investments Limited","organization","critical_battery","2","0","11398","Gold/Copper/Iron Ore","2","0"
"Sapphire Mining Limited","organization","critical_battery","2","0","637","Iron Ore/Anhydrite/Manganese","2","2"
"Munyaka Investments Limited","organization","industrial_minerals","2","0","5333","Sand/Feldspar/Clay (General)","0","0"
"Summit Minerals Limited","organization","critical_battery","2","0","872","Silver/Zinc/Manganese","0","0"
"SDLG INVESTMENTS LIMITED","organization","critical_battery","2","0","1847","Manganese/Nickel/Zinc","1","0"
"Chisungusho Investments Limited","organization","critical_battery","2","0","1991","Silver/Quartz/Gold","2","1"
"Mupika Sericulture Company Limited","organization","industrial_minerals","2","0","1910","Silica/Feldspar/Clay (General)","0","0"
"Kaykas Investements Limited","organization","gemstones","2","0","864","Copper/Manganese/Rare EarthsElements","2","0"
"Kilajits Engineering & Logistics Zambia Limited","organization","critical_battery","2","0","5289","Lead/Copper/Cobalt","2","1"
"Flying Lion Mining Company Limited","organization","gemstones","2","0","1805","Manganese/Malachite/Nickel","0","0"
"S.One Enterprises Limited","organization","gemstones","2","0","2768","Iron Ore/Manganese/Zinc","0","0"
"Kilimanjaro Mining Limited","organization","gemstones","2","0","2147","Manganese/Lead/Quartz","0","0"
"Chao Chao Construction Limited","organization","gemstones","2","0","2098","Tin/Tantalum/Copper","1","0"
"Tinco Zambia Limited","organization","gemstones","2","0","815","Silver/Lithium/Lead","0","0"
"Kiddies University Limited","organization","critical_battery","2","0","5549","Manganese/Zinc/Gold","1","0"
"Flow Valve Limited","organization","gemstones","2","0","1311","Gold/Manganese/Zinc","2","1"
"Fouta Mining Limited","organization","gemstones","2","0","1798","Iron Ore/Lead/Manganese","0","0"
"Kings Centre Limited","organization","gold","2","0","554","Sand/Limestone (General)/Gravel","2","0"
"SGC Investments Limited","organization","critical_battery","2","0","14285","Lithium/Limestone (General)/Lead","0","0"
"Trendy Enterprises Limited","organization","critical_battery","2","0","1256","Lead/Limestone (General)/Manganese","2","0"
"Chambishi Milling Company Limited","organization","critical_battery","2","0","7193","Iron Ore/Manganese/Silver","2","0"
"S.B Mineral Resources Limited","organization","gemstones","2","0","1375","Rare EarthsElements/Manganese/Quartz","2","0"
"Kapinga and Sons Investments Limited","organization","gemstones","2","0","1689","Gold/Copper/Iron Ore","0","0"
"MSANZALA RESOURCES LIMITED","organization","gemstones","2","0","12175","Nickel/Manganese/Zinc","0","0"
"Elimoas Corporation Limited","organization","gold","2","0","8689","Iron Ore/Copper/Gold","2","0"
"CMRB Civil Service  and Consultancy Limited","organization","critical_battery","2","0","10561","Nickel/Lithium/Quartz","2","0"
"Stavin Investements Limited","organization","critical_battery","2","0","2056","Gold/Copper/Cobalt","2","2"
"Sacko Resources Limited","organization","critical_battery","2","0","1575","Lead/Nickel/Zinc","2","0"
"TECHPRO MINING LIMITED","organization","gemstones","2","0","1531","Iron Ore/Lead/Manganese","1","0"
"Chidunkulu  Resources Limited","organization","gemstones","2","0","5026","Lead/Manganese/Gold","2","0"
"Finest Mineral Resources Company Limited","organization","gemstones","2","0","4101","Gold/Copper/Amethyst","0","0"
"FIERCE DRAGON INVESTMENT LIMITED","organization","critical_battery","2","0","1382","Tungsten/Tin/Niobium (Columbium)","0","0"
"Muchenge African Power Traders International Limited","organization","gemstones","2","0","520","Nickel/Iron Ore/Silver","2","0"
"Jomoas Corporation Limited","organization","gold","2","0","11642","Gold/Cobalt/Copper","2","0"
"Muchaba Enterprises Company Limited","organization","energy_minerals","2","0","956","Limestone (General)/Sand/Molding","1","0"
"Muchenga Resources Limited","organization","critical_battery","2","0","1964","Zinc/Iron Ore/Lead","2","0"
"Jeal Investments Limited","organization","gemstones","2","0","15770","Iron Ore/Gold/Copper","0","0"
"Kerson Resources Limited","organization","gemstones","2","0","1235","Malachite/Manganese/Lead","1","0"
"Chem Mining Limited","organization","gold","2","0","12020","Gold/Copper/Anhydrite","1","0"
